¹øÈ£,»ç¾÷Àå¸í,¿µ¾÷»óÅÂ¸í,¼ÒÀçÁöÀüÃ¼ÁÖ¼Ò,ÁÂÇ¥Á¤º¸(x),ÁÂÇ¥Á¤º¸(y),lat,lng
5996,¸Ó½½ ÇÏ¿ì½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¼ÛÆÄµ¿ 24-7,209462.513525733,445061.006620464,37.5076323,127.1077381
5998,»ÇÁ¾¿ùµå,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¹æÀÌµ¿ 149-9 °Åº¸»ê¾÷(ÁÖ),210079.592497353,445750.206337916,37.513877,127.114791
6000,½ºÆ÷¾Ö´Ï µ¿¹¦¾Õ¿ªÁ¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¼þÀÎµ¿ 76 ·Ôµ¥Ä³½½ ÃµÁöÀÎ,201359.53353905,452395.659064842,37.5738744,127.016198
6003,NEW RUN,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ÇÑ°­·Î2°¡ 420 ¿ë»êÇª¸£Áö¿À½á¹Ô,196861.350875235,447226.720509901,37.5271632,126.9651663
6004,Gym BX4,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¾çÃµ±¸ ¸ñµ¿ 797-3,188134.546718006,447825.339722271,37.532531,126.8665278
6013,½ºÀ­ PT¼¥,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ÀºÆò±¸ ÀÀ¾Ïµ¿ 590-6 3Ãþ,192578.162771432,454189.705277869,37.5899445,126.9167141
6090,ÈÖÆ®´Ï½º ¿¡ÀÏ¸°,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ºÀÃµµ¿ 1658-16 B101È£,196761.955121717,441574.234205319,37.4764496,126.9643028
6115,¸®¾óÅ¸ÀÓ ÇÇÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ìµ¿ 442-21 ±îÄ¡À¯Ä¡¿ø,208591.021424155,454321.403758328,37.5911173,127.0980405
6117,À£½ºÅ¸ ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 5-4 ÁöÇÏ2Ãþ,206000.795709589,448457.946316088,37.538287,127.0686507
6121,GYM29,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã Áß±¸ Àå±³µ¿ 1 ÇÑÈ­ºôµù,198744.433228989,451677.065126229,37.5674881,126.9865237
6131,¿ø¸ÞµðÁü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¸·Î±¸ °íÃ´µ¿ 76-38 ¿ø¸ÞµðÅ¸¿î,187923.27573024,443993.670252899,37.498029,126.8642314
6134,UNO GYM,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã Áß±¸ ½Å´çµ¿ 844 ³²»êÅ¸¿î,200750.455125653,449638.824308081,37.5491389,127.0093824
6142,Á¦ÀÌµðÇÇÆ¼¼¥,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ºÀÃµµ¿ 729-32 ÇØÅÂº¸¶ó¸ÅÅ¸¿ö,193306.240555398,443221.321009043,37.4912097,126.9248657
6149,¶ó¿ÂÈÖÆ®´Ï½º&ÇÊ¶óÅ×½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ½Å±æµ¿ 508 ½Ã¿øºôµù,192753.630818112,444219.184867426,37.5000697,126.9189494
6152,¿¡ÀÌÆ¼¿¤(ATL),¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ººÏ±¸ º¸¹®µ¿7°¡ 102 (ÁÖ)ÂüÁ¸±Û·Î¹ú¿öÅ©,201873.076353983,453075.559973991,37.5799286,127.0219582
6155,¸ðºêÆ®·¹ÀÌ´× ¼¾ÅÍ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã µ¿ÀÛ±¸ ´ë¹æµ¿ 23 »ïÇÏºôµù,193934.599770526,445554.19659299,37.5122151,126.9321507
